3000, Melbourne, -37.810, 144.970
3001, Melbourne, -38.370, 144.770
3002, East Melbourne, -37.820, 144.990
3003, West Melbourne, -37.810, 144.940
3004, Melbourne, -37.840, 144.980
3005, World Trade Centre, -37.820, 144.950
3006, South Wharf, -37.820, 144.970
3008, Docklands, -37.810, 144.950
3010, University Of Melbourne, -37.800, 144.960
3011, Footscray, -37.800, 144.900
3012, Brooklyn, -37.810, 144.850
3013, Yarraville, -37.820, 144.890
3015, Newport, -37.840, 144.880
3016, Williamstown, -37.860, 144.900
3018, Altona, -37.870, 144.830
3019, Braybrook, -37.780, 144.860
3020, Albion, -37.780, 144.820
3021, Albanvale, -37.750, 144.770
3022, Ardeer, -37.780, 144.800
3023, Burnside, -37.750, 144.750
3024, Mambourin, -37.900, 144.560
3025, Altona East, -37.840, 144.860
3026, Laverton North, -37.840, 144.800
3027, Williams Landing, -37.860, 144.760
3028, Altona Meadows, -37.870, 144.780
3029, Hoppers Crossing, -37.880, 144.700
3030, Cocoroc, -37.970, 144.580
3031, Flemington, -37.790, 144.930
3032, Ascot Vale, -37.780, 144.920
3033, Keilor East, -37.740, 144.800
3034, Avondale Heights, -37.740, 144.820
3036, Keilor, -37.720, 144.830
3037, Calder Park, -37.720, 144.780
3038, Keilor Downs, -37.730, 144.810
3039, Moonee Ponds, -37.770, 144.920
3040, Aberfeldie, -37.760, 144.900
3041, Essendon Fields, -37.740, 144.910
3042, Airport West, -37.710, 144.890
3043, Gladstone Park, -37.690, 144.880
3044, Pascoe Vale, -37.730, 144.940
3045, Melbourne Airport, -37.670, 144.830
3046, Glenroy, -37.700, 144.920
3047, Broadmeadows, -37.680, 144.920
3048, Coolaroo, -37.650, 144.930
3049, Attwood, -37.670, 144.890
3050, Royal Melbourne Hospital, -37.800, 144.960
3051, Hotham Hill, -37.910, 145.060
3052, Melbourne University, -37.800, 144.960
3053, Carlton, -37.780, 144.970
3054, Carlton North, -37.780, 144.970
3055, Brunswick South, -37.770, 144.940
3056, Brunswick, -37.760, 144.940
3057, Brunswick East, -37.760, 144.980
3058, Batman, -37.730, 144.960
3059, Greenvale, -37.640, 144.890
3060, Fawkner, -37.760, 144.900
3061, Campbellfield, -37.640, 144.950
3062, Somerton, -37.640, 144.940
3063, Oaklands Junction, -37.630, 144.840
3064, Craigieburn, -37.600, 144.940
3065, Fitzroy, -37.800, 144.980
3066, Collingwood, -37.800, 144.980
3067, Abbotsford, -37.800, 145.000
3068, Clifton Hill, -37.790, 144.990
3070, Northcote, -37.770, 145.000
3071, Thornbury, -37.760, 145.000
3072, Gilberton, -37.740, 145.030
3073, Keon Park, -37.690, 145.010
3074, Thomastown, -37.680, 145.010
3075, Lalor, -37.670, 145.020
3076, Epping, -37.640, 145.010
3078, Alphington, -37.780, 145.030
3079, Ivanhoe, -37.770, 145.040
3081, Bellfield, -37.750, 145.050
3082, Mill Park, -37.670, 145.060
3083, Bundoora, -37.700, 145.070
3084, Banyule, -37.740, 145.090
3085, Macleod, -37.730, 145.070
3086, La Trobe University, -37.720, 145.050
3087, Watsonia, -37.710, 145.080
3088, Briar Hill, -37.710, 145.120
3089, Diamond Creek, -37.640, 145.220
3090, Plenty, -37.670, 145.120
3091, Yarrambat, -37.640, 145.130
3093, Lower Plenty, -37.730, 145.090
3094, Montmorency, -37.720, 145.120
3095, Eltham, -37.710, 145.150
3096, Wattle Glen, -37.670, 145.190
3097, Bend Of Islands, -37.700, 145.280
3099, Arthurs Creek, -37.590, 145.220
3101, Cotham, -37.810, 145.040
3102, Kew East, -37.800, 145.050
3103, Balwyn, -37.810, 145.080
3104, Balwyn North, -37.790, 145.070
3105, Bulleen, -37.770, 145.080
3106, Templestowe, -37.770, 145.120
3107, Templestowe Lower, -37.760, 145.100
3108, Doncaster, -37.780, 145.120
3109, Doncaster East, -37.810, 145.190
3111, Donvale, -38.180, 144.470
3113, North Warrandyte, -37.730, 145.220
3114, Park Orchards, -37.780, 145.210
3115, Wonga Park, -37.740, 145.270
3116, Chirnside Park, -37.750, 145.330
3121, Burnley, -37.830, 145.010
3122, Auburn South, -37.840, 145.050
3123, Auburn, -37.830, 145.040
3124, Camberwell, -37.820, 145.060
3125, Bennettswood, -37.840, 145.120
3126, Camberwell East, -37.840, 145.090
3127, Mont Albert, -37.820, 145.100
3128, Box Hill, -37.820, 145.120
3129, Box Hill North, -37.800, 145.130
3130, Blackburn, -37.820, 145.150
3131, Brentford Square, -37.840, 145.180
3132, Mitcham, -37.820, 145.190
3133, Vermont, -37.840, 145.190
3134, Heathwood, -37.810, 145.230
3135, Bedford Road, -37.820, 145.250
3136, Croydon, -37.800, 145.280
3137, Kilsyth, -37.800, 145.310
3138, Mooroolbark, -37.770, 145.330
3139, Beenak, -37.800, 145.540
3140, Lilydale, -37.760, 145.350
3141, Chapel Street North, -36.990, 144.060
3142, Hawksburn, -37.840, 145.000
3143, Armadale, -37.860, 145.020
3144, Kooyong, -37.840, 145.030
3145, Caulfield East, -37.880, 145.040
3146, Glen Iris, -37.850, 145.070
3147, Ashburton, -37.860, 145.080
3148, Chadstone, -37.890, 145.080
3149, Mount Waverley, -37.880, 145.130
3150, Brandon Park, -37.880, 145.170
3151, Burwood East, -37.860, 145.140
3152, Knox City Centre, -37.870, 145.240
3153, Bayswater, -37.840, 145.270
3154, The Basin, -37.850, 145.310
3155, Boronia, -37.860, 145.280
3156, Ferntree Gully, -37.880, 145.300
3158, Upwey, -37.900, 145.330
3159, Menzies Creek, -37.920, 145.400
3160, Belgrave, -37.910, 145.360
3161, Caulfield Junction, -38.030, 145.310
3162, Caulfield, -37.880, 145.030
3163, Booran Road Po, -37.890, 145.060
3164, Dandenong South, -38.020, 145.240
3165, Bentleigh East, -37.930, 145.060
3166, Hughesdale, -37.900, 145.080
3167, Oakleigh South, -37.930, 145.100
